Year;District;deaths;pop;dens_pop;gdp;share_industry;dens_doc;houshold_house;household_size;share_male;share_5_14;share_20_39;share_60
1916;219;251;14614;166.0449733;2060;0.654;0.034086145;1.47;4.5;0.506;0.245;0.283;0.08
1917;219;272;14614;166.0449733;2060;0.654;0.034086145;1.47;4.5;0.506;0.245;0.283;0.08
1918;219;429;14614;166.0449733;2060;0.654;0.034086145;1.47;4.5;0.506;0.245;0.283;0.08
1913;220;170;12157;39.69353988;2039;0.548;0.016325385;1.35;4.2;0.509;0.228;0.276;0.106
1914;220;160;12157;39.69353988;2039;0.548;0.016325385;1.35;4.2;0.509;0.228;0.276;0.106
1915;220;142;12157;39.69353988;2039;0.548;0.016325385;1.35;4.2;0.509;0.228;0.276;0.106
1916;220;163;12157;39.69353988;2039;0.548;0.016325385;1.35;4.2;0.509;0.228;0.276;0.106
1917;220;161;12157;39.69353988;2039;0.548;0.016325385;1.35;4.2;0.509;0.228;0.276;0.106
1918;220;226;12157;39.69353988;2039;0.548;0.016325385;1.35;4.2;0.509;0.228;0.276;0.106
1913;221;118;6568;11.89912628;2077;0.451;0.003623364;1.32;4.1;0.508;0.207;0.287;0.127
1914;221;90;6568;11.89912628;2077;0.451;0.003623364;1.32;4.1;0.508;0.207;0.287;0.127
1915;221;98;6568;11.89912628;2077;0.451;0.003623364;1.32;4.1;0.508;0.207;0.287;0.127
1916;221;97;6568;11.89912628;2077;0.451;0.003623364;1.32;4.1;0.508;0.207;0.287;0.127
1917;221;89;6568;11.89912628;2077;0.451;0.003623364;1.32;4.1;0.508;0.207;0.287;0.127
1918;221;96;6568;11.89912628;2077;0.451;0.003623364;1.32;4.1;0.508;0.207;0.287;0.127
1913;222;129;7536;22.67693107;2002;0.407;0.006018294;1.22;4;0.514;0.233;0.279;0.099
1914;222;106;7536;22.67693107;2002;0.407;0.006018294;1.22;4;0.514;0.233;0.279;0.099
1915;222;111;7536;22.67693107;2002;0.407;0.006018294;1.22;4;0.514;0.233;0.279;0.099
1916;222;86;7536;22.67693107;2002;0.407;0.006018294;1.22;4;0.514;0.233;0.279;0.099
1917;222;93;7536;22.67693107;2002;0.407;0.006018294;1.22;4;0.514;0.233;0.279;0.099
1918;222;153;7536;22.67693107;2002;0.407;0.006018294;1.22;4;0.514;0.233;0.279;0.099
1913;223;395;25381;80.10875171;2372;0.685;0.025249991;1.35;4.2;0.491;0.219;0.274;0.102
1914;223;429;25381;80.10875171;2372;0.685;0.025249991;1.35;4.2;0.491;0.219;0.274;0.102
1915;223;382;25381;80.10875171;2372;0.685;0.025249991;1.35;4.2;0.491;0.219;0.274;0.102
1916;223;378;25381;80.10875171;2372;0.685;0.025249991;1.35;4.2;0.491;0.219;0.274;0.102
1917;223;408;25381;80.10875171;2372;0.685;0.025249991;1.35;4.2;0.491;0.219;0.274;0.102
1918;223;601;25381;80.10875171;2372;0.685;0.025249991;1.35;4.2;0.491;0.219;0.274;0.102
1913;224;66;5933;24.61354903;1872;0.448;0.004148584;1.24;4.1;0.327;0.22;0.29;0.092
1914;224;82;5933;24.61354903;1872;0.448;0.004148584;1.24;4.1;0.327;0.22;0.29;0.092
1915;224;56;5933;24.61354903;1872;0.448;0.004148584;1.24;4.1;0.327;0.22;0.29;0.092
1916;224;59;5933;24.61354903;1872;0.448;0.004148584;1.24;4.1;0.327;0.22;0.29;0.092
1917;224;64;5933;24.61354903;1872;0.448;0.004148584;1.24;4.1;0.327;0.22;0.29;0.092
1918;224;127;5933;24.61354903;1872;0.448;0.004148584;1.24;4.1;0.327;0.22;0.29;0.092
1913;225;167;11135;70.97881281;1498;0.361;0.012748776;1.24;5.2;0.517;0.268;0.243;0.084
1914;225;134;11135;70.97881281;1498;0.361;0.012748776;1.24;5.2;0.517;0.268;0.243;0.084
1915;225;165;11135;70.97881281;1498;0.361;0.012748776;1.24;5.2;0.517;0.268;0.243;0.084
1916;225;124;11135;70.97881281;1498;0.361;0.012748776;1.24;5.2;0.517;0.268;0.243;0.084
1917;225;150;11135;70.97881281;1498;0.361;0.012748776;1.24;5.2;0.517;0.268;0.243;0.084
1918;225;228;11135;70.97881281;1498;0.361;0.012748776;1.24;5.2;0.517;0.268;0.243;0.084
1913;226;363;21560;113.7558586;1843;0.494;0.026381229;1.32;4.9;0.518;0.247;0.254;0.112
1914;226;373;21560;113.7558586;1843;0.494;0.026381229;1.32;4.9;0.518;0.247;0.254;0.112
1915;226;359;21560;113.7558586;1843;0.494;0.026381229;1.32;4.9;0.518;0.247;0.254;0.112
1916;226;345;21560;113.7558586;1843;0.494;0.026381229;1.32;4.9;0.518;0.247;0.254;0.112
1917;226;358;21560;113.7558586;1843;0.494;0.026381229;1.32;4.9;0.518;0.247;0.254;0.112
1918;226;526;21560;113.7558586;1843;0.494;0.026381229;1.32;4.9;0.518;0.247;0.254;0.112
1913;227;326;25061;78.24710987;1779;0.457;0.024978129;1.36;5.1;0.51;0.242;0.263;0.1
1914;227;363;25061;78.24710987;1779;0.457;0.024978129;1.36;5.1;0.51;0.242;0.263;0.1
1915;227;332;25061;78.24710987;1779;0.457;0.024978129;1.36;5.1;0.51;0.242;0.263;0.1
1916;227;333;25061;78.24710987;1779;0.457;0.024978129;1.36;5.1;0.51;0.242;0.263;0.1
1917;227;377;25061;78.24710987;1779;0.457;0.024978129;1.36;5.1;0.51;0.242;0.263;0.1
1918;227;556;25061;78.24710987;1779;0.457;0.024978129;1.36;5.1;0.51;0.242;0.263;0.1
1913;228;498;40220;150.3285587;2165;0.688;0.05980251;1.68;4.5;0.499;0.24;0.282;0.083
1914;228;497;40220;150.3285587;2165;0.688;0.05980251;1.68;4.5;0.499;0.24;0.282;0.083
1915;228;519;40220;150.3285587;2165;0.688;0.05980251;1.68;4.5;0.499;0.24;0.282;0.083
1916;228;447;40220;150.3285587;2165;0.688;0.05980251;1.68;4.5;0.499;0.24;0.282;0.083
1917;228;479;40220;150.3285587;2165;0.688;0.05980251;1.68;4.5;0.499;0.24;0.282;0.083
1918;228;750;40220;150.3285587;2165;0.688;0.05980251;1.68;4.5;0.499;0.24;0.282;0.083
1913;229;362;24414;127.8133571;1928;0.509;0.03664674;1.38;4.9;0.511;0.239;0.265;0.102
1914;229;316;24414;127.8133571;1928;0.509;0.03664674;1.38;4.9;0.511;0.239;0.265;0.102
1915;229;304;24414;127.8133571;1928;0.509;0.03664674;1.38;4.9;0.511;0.239;0.265;0.102
1916;229;312;24414;127.8133571;1928;0.509;0.03664674;1.38;4.9;0.511;0.239;0.265;0.102
1917;229;293;24414;127.8133571;1928;0.509;0.03664674;1.38;4.9;0.511;0.239;0.265;0.102
1918;229;427;24414;127.8133571;1928;0.509;0.03664674;1.38;4.9;0.511;0.239;0.265;0.102
1913;230;285;18530;144.2952001;2000;0.659;0.070084015;1.51;4.5;0.5;0.243;0.261;0.102
1914;230;264;18530;144.2952001;2000;0.659;0.070084015;1.51;4.5;0.5;0.243;0.261;0.102
1915;230;259;18530;144.2952001;2000;0.659;0.070084015;1.51;4.5;0.5;0.243;0.261;0.102
1916;230;230;18530;144.2952001;2000;0.659;0.070084015;1.51;4.5;0.5;0.243;0.261;0.102
1917;230;275;18530;144.2952001;2000;0.659;0.070084015;1.51;4.5;0.5;0.243;0.261;0.102
1918;230;354;18530;144.2952001;2000;0.659;0.070084015;1.51;4.5;0.5;0.243;0.261;0.102
1913;301;292;16851;41.27561263;1694;0.361;0.009797784;1.22;5.3;0.524;0.235;0.279;0.108
1914;301;306;16851;41.27561263;1694;0.361;0.009797784;1.22;5.3;0.524;0.235;0.279;0.108
1915;301;252;16851;41.27561263;1694;0.361;0.009797784;1.22;5.3;0.524;0.235;0.279;0.108
1916;301;264;16851;41.27561263;1694;0.361;0.009797784;1.22;5.3;0.524;0.235;0.279;0.108
1917;301;245;16851;41.27561263;1694;0.361;0.009797784;1.22;5.3;0.524;0.235;0.279;0.108
1918;301;436;16851;41.27561263;1694;0.361;0.009797784;1.22;5.3;0.524;0.235;0.279;0.108
1913;302;316;22168;125.2294951;2708;0.579;0.056491111;1.55;5.2;0.52;0.215;0.293;0.096
1914;302;326;22168;125.2294951;2708;0.579;0.056491111;1.55;5.2;0.52;0.215;0.293;0.096
1915;302;265;22168;125.2294951;2708;0.579;0.056491111;1.55;5.2;0.52;0.215;0.293;0.096
1916;302;305;22168;125.2294951;2708;0.579;0.056491111;1.55;5.2;0.52;0.215;0.293;0.096
1917;302;319;22168;125.2294951;2708;0.579;0.056491111;1.55;5.2;0.52;0.215;0.293;0.096
1918;302;398;22168;125.2294951;2708;0.579;0.056491111;1.55;5.2;0.52;0.215;0.293;0.096
1913;303;947;72439;334.2734712;2777;0.885;0.309174927;2.94;4.3;0.488;0.195;0.342;0.081
1914;303;862;72439;334.2734712;2777;0.885;0.309174927;2.94;4.3;0.488;0.195;0.342;0.081
1915;303;788;72439;334.2734712;2777;0.885;0.309174927;2.94;4.3;0.488;0.195;0.342;0.081
1916;303;917;72439;334.2734712;2777;0.885;0.309174927;2.94;4.3;0.488;0.195;0.342;0.081
