District;cases;pop;dens_pop;gdp;share_industry;dens_doc;houshold_house;household_size;share_male;share_5_14;share_20_39;share_60
1805;490;2565;1.682364361;1943;0.294;0.001311785;1.2;3.9;0.48;0.199;0.255;0.126
1806;917;6028;29.39400943;1731;0.578;0.024381229;1.41;4.1;0.5;0.193;0.238;0.227
1807;2396;7044;6.995800335;1487;0.406;0.004965787;1.11;4.1;0.549;0.179;0.338;0.096
1808;2186;9781;10.11611659;2165;0.776;0.017582454;1.5;4.4;0.529;0.081;0.669;0.038
1809;605;6192;12.53020747;1686;0.354;0.004047225;1.12;3.9;0.459;0.202;0.248;0.141
1810;1052;1577;8.286510433;1671;0.317;0.005254604;1.13;4.1;0.47;0.185;0.302;0.124
1811;2723;16021;24.00109541;2554;0.71;0.050935475;1.54;4.5;0.491;0.152;0.429;0.064
1812;4551;20303;77.02036679;2585;0.86;0.098632199;2.09;4.3;0.498;0.17;0.354;0.078
1813;2831;13108;38.04276532;2127;0.454;0.017413533;1.35;4.2;0.522;0.198;0.292;0.111
1814;2519;7036;14.83057189;1881;0.357;0.006323439;1.35;4.8;0.512;0.232;0.259;0.12
1901;5741;28948;277.0835587;2703;0.89;0.124432992;1.7;4.5;0.49;0.213;0.308;0.084
1902;5861;38340;251.574473;2456;0.808;0.098425068;1.81;4.8;0.508;0.219;0.319;0.075
1903;3373;21108;179.4039078;2297;0.714;0.093492656;1.51;4.5;0.481;0.237;0.263;0.103
1904;2813;20232;135.6293067;2168;0.634;0.040222214;1.44;4.5;0.501;0.211;0.287;0.105
1905;4567;21440;219.9865587;4463;0.755;0.082084537;1.51;4.4;0.478;0.227;0.271;0.108
1906;2052;14373;94.00230869;1906;0.475;0.026160804;1.26;4.5;0.507;0.213;0.277;0.108
1907;4166;21028;214.7081407;2296;0.777;0.081684665;1.55;4.3;0.489;0.226;0.281;0.097
1908;1939;14401;103.5514978;1793;0.487;0.043143461;1.27;5;0.496;0.225;0.264;0.12
1909;2099;13771;122.9520638;2241;0.648;0.08035499;1.52;4.3;0.495;0.213;0.308;0.093
1910;5678;31062;218.9075764;2240;0.808;0.077521838;1.66;4.6;0.481;0.243;0.267;0.093
1911;2046;14044;108.0985387;2063;0.551;0.061577066;1.34;4.7;0.501;0.217;0.262;0.124
2001;6154;25601;343.3113229;2589;0.843;0.147510822;1.77;4.2;0.499;0.192;0.345;0.073
2002;2680;19240;219.0695238;2721;0.775;0.125247649;1.55;4.2;0.485;0.191;0.318;0.085
2003;672;4603;109.9531093;1873;0.585;0.071661814;1.39;4.4;0.521;0.185;0.277;0.143
2004;3403;19178;144.5507793;2468;0.69;0.060298584;1.52;4.3;0.502;0.199;0.299;0.095
2005;3750;20220;189.8448943;2327;0.739;0.103278627;1.48;4.1;0.498;0.186;0.313;0.094
2006;3285;19676;125.6206494;2257;0.634;0.038306764;1.22;4.6;0.501;0.225;0.283;0.091
2007;1413;12292;88.57260619;2173;0.54;0.036028558;1.27;4.4;0.508;0.207;0.276;0.109
